Sl_No,State,District,District_Code,Crop,Season,Sowing_Period,Harvesting_Period,Sow_From_Day,Sow_From_Mon,Sow_To_Day,Sow_To_Mon,Harv_From_Day,Harv_From_Mon,Harv_To_Day,Harv_To_Mon,PDF_Page
179,Bihar,Darbhanga,215,Linseed,Rabi,15th Oct - 15th Nov,15th Mar - 15th Apr,15.0,10.0,15.0,11.0,15.0,3.0,15.0,4.0,4
180,Bihar,East Champaran,204,Rice,Kharif,15th May - 31st July,15th Sep – 30th Nov,15.0,5.0,31.0,7.0,15.0,9.0,30.0,11.0,4
181,Bihar,East Champaran,204,Wheat,Rabi,1st Nov - 1st Dec,1st Mar -1st Apr,1.0,11.0,1.0,12.0,1.0,3.0,1.0,4.0,4
182,Bihar,East Champaran,204,Maize,Kharif,1st May- 1st June,15th Aug -30th Sept,1.0,5.0,1.0,6.0,15.0,8.0,30.0,9.0,4
183,Bihar,East Champaran,204,Maize,Rabi,1st Oct- 1st Nov,1st - 31st Mar,1.0,10.0,1.0,11.0,1.0,3.0,31.0,3.0,4
184,Bihar,East Champaran,204,Maize,Summer,1st Feb -1stApr,1st – 15th May,1.0,2.0,1.0,4.0,1.0,5.0,15.0,5.0,4
185,Bihar,East Champaran,204,Arhar,Kharif,1st – 30th June,1st - 30th Mar,1.0,6.0,30.0,6.0,1.0,3.0,30.0,3.0,5
186,Bihar,East Champaran,204,Urad,Kharif,1st – 15th July,15th - 30th Sep,1.0,7.0,15.0,7.0,15.0,9.0,30.0,9.0,5
187,Bihar,East Champaran,204,Lentil,Rabi,1st Oct - 15th Nov,1st – 15th Mar,1.0,10.0,15.0,11.0,1.0,3.0,15.0,3.0,5
188,Bihar,East Champaran,204,Peas,Rabi,1st Oct - 15th Nov,1st Jan -1st Mar,1.0,10.0,15.0,11.0,1.0,1.0,1.0,3.0,5
189,Bihar,East Champaran,204,Moong,Summer,1st Mar – 1st Apr,1st - 15th May,1.0,3.0,1.0,4.0,1.0,5.0,15.0,5.0,5
190,Bihar,East Champaran,204,Till,Summer,1st Feb - 1st Mar,1st - 15th May,1.0,2.0,1.0,3.0,1.0,5.0,15.0,5.0,5
191,Bihar,East Champaran,204,Mustard,Rabi,1st Oct.-1st Nov,1st Feb - 1st Mar,1.0,10.0,1.0,11.0,1.0,2.0,1.0,3.0,5
192,Bihar,East Champaran,204,Linseed,Rabi,1st Oct -15th Nov,1st - 15th Mar,1.0,10.0,15.0,11.0,1.0,3.0,15.0,3.0,5
193,Bihar,East Champaran,204,Sugarcane,Autumn,1st Oct. -15th Nov,1st Oct – 15th Mar,1.0,10.0,15.0,11.0,1.0,10.0,15.0,3.0,5
194,Bihar,East Champaran,204,Sugarcane,Spring,1st Feb -1st Mar,,1.0,2.0,1.0,3.0,,,,,5
195,Bihar,Gaya,236,Rice,Kharif,1st June - 30th July,15th Oct – 15th Dec,1.0,6.0,30.0,7.0,15.0,10.0,15.0,12.0,5
196,Bihar,Gaya,236,Wheat,Rabi,15th Nov – 15th Dec,15th Mar – 15th Apr,15.0,11.0,15.0,12.0,15.0,3.0,15.0,4.0,5
197,Bihar,Gaya,236,Barley,Rabi,15th Oct - 30th Nov,15th Mar- 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,5
198,Bihar,Gaya,236,Maize,Kharif,15th May – 15th June,1st -31st Sep,15.0,5.0,15.0,6.0,1.0,9.0,31.0,9.0,5
199,Bihar,Gaya,236,Maize,Rabi:,15th Oct – 15th Nov,1st – 30th Apr,15.0,10.0,15.0,11.0,1.0,4.0,30.0,4.0,5
200,Bihar,Gaya,236,Maize,Summer,15th Feb– 30th Apr,15th - 31st May,15.0,2.0,30.0,4.0,15.0,5.0,31.0,5.0,5
201,Bihar,Gaya,236,Arhar,Kharif,15th June – 31st July,1st – 30th Apr,15.0,6.0,31.0,7.0,1.0,4.0,30.0,4.0,5
202,Bihar,Gaya,236,Urad,Kharif,15th - 31st July,1st – 15th Oct,15.0,7.0,31.0,7.0,1.0,10.0,15.0,10.0,5
203,Bihar,Gaya,236,Kulthi,Kharif,15th July – 15th Aug.,1st – 15th Nov,15.0,7.0,15.0,8.0,1.0,11.0,15.0,11.0,5
204,Bihar,Gaya,236,Gram,Rabi,15th Oct.-30th Nov (Normal),15th Mar – 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,5
205,Bihar,Gaya,236,Gram,,1-15 Dec (Late),,1.0,12.0,15.0,12.0,,,,,5
206,Bihar,Gaya,236,Lentil,Rabi,15th Oct – 30th Nov,15th – 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,5
207,Bihar,Gaya,236,Peas,Rabi,15th Oct – 30th Nov,15th Jan – 15th Mar,15.0,10.0,30.0,11.0,15.0,1.0,15.0,3.0,5
208,Bihar,Gaya,236,Moong,Summer,15th Mar - 15th Apr,15th – 31st May,15.0,3.0,15.0,4.0,15.0,5.0,31.0,5.0,5
209,Bihar,Gaya,236,Khesari,Rabi,15th Oct – 15th Nov,15th Mar – 15th Apr,15.0,10.0,15.0,11.0,15.0,3.0,15.0,4.0,5
210,Bihar,Gaya,236,Ground nut,Kharif,15th June – 15th July,15th Sept – 15th Oct,15.0,6.0,15.0,7.0,15.0,9.0,15.0,10.0,5
211,Bihar,Gaya,236,Til,Kharif,15th June - 15th July,15th – 30th Sep,15.0,6.0,15.0,7.0,15.0,9.0,30.0,9.0,5
212,Bihar,Gaya,236,Til,Summer,15th Feb -15th Mar,15th -31st May,15.0,2.0,15.0,3.0,15.0,5.0,31.0,5.0,5
213,Bihar,Gaya,236,Mustard,Rabi,15th -31st Oct,15th Feb - 15th Mar,15.0,10.0,31.0,10.0,15.0,2.0,15.0,3.0,5
214,Bihar,Gaya,236,Linseed,Rabi,15th Oct.- 30th Nov,15th - 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,5
215,Bihar,Gaya,236,Sunflower,Rabi,15th Oct. – 15th Nov,15th – 28th Feb,15.0,10.0,15.0,11.0,15.0,2.0,28.0,2.0,5
216,Bihar,Gaya,236,Sugarcane,Autumn,15th Oct. – 30th Nov,15th Oct. – 31st Mar,15.0,10.0,30.0,11.0,15.0,10.0,31.0,3.0,5
217,Bihar,Gaya,236,Sugarcane,Spring,15th Feb – 15th Mar,,15.0,2.0,15.0,3.0,,,,,5
218,Bihar,Gopalganj,217,Rice,Kharif,15th May - 31st July,15th Sep – 30th Nov,15.0,5.0,31.0,7.0,15.0,9.0,30.0,11.0,5
219,Bihar,Gopalganj,217,Wheat,Rabi,1st Nov - 1st Dec,1st Mar -1st Apr,1.0,11.0,1.0,12.0,1.0,3.0,1.0,4.0,5
220,Bihar,Gopalganj,217,Maize,Kharif,1st May- 1st June,15th Aug -30th Sept,1.0,5.0,1.0,6.0,15.0,8.0,30.0,9.0,5
221,Bihar,Gopalganj,217,Maize,Rabi,1st Oct- 15th Nov,31st Jan -15th March,1.0,10.0,15.0,11.0,31.0,1.0,15.0,3.0,5
222,Bihar,Gopalganj,217,Maize,Summer,1st Feb. -15th April,1st May -10th June,1.0,2.0,15.0,4.0,1.0,5.0,10.0,6.0,5
223,Bihar,Gopalganj,217,Arhar,Kharif,15th June- 15th July,1st Mar -15th Apr,15.0,6.0,15.0,7.0,1.0,3.0,15.0,4.0,5
224,Bihar,Gopalganj,217,Urad,Kharif,30th June - 5th Aug,1st Oct -31st Oct,30.0,6.0,5.0,8.0,1.0,10.0,31.0,10.0,5
225,Bihar,Gopalganj,217,Lentil,Rabi,1st Oct.- 15th Nov.,5th Mar -1st Apr,1.0,10.0,15.0,11.0,5.0,3.0,1.0,4.0,5
226,Bihar,Gopalganj,217,Peas,Rabi,1st Oct.- 30th Nov.,1st – 31st Mar,1.0,10.0,30.0,11.0,1.0,3.0,31.0,3.0,5
227,Bihar,Gopalganj,217,Moong,Summer,5th Mar – 15th Apr,15th June – 30th June,5.0,3.0,15.0,4.0,15.0,6.0,30.0,6.0,5
228,Bihar,Gopalganj,217,Till,Summer,1st Feb - 1st Mar,1st - 15th May,1.0,2.0,1.0,3.0,1.0,5.0,15.0,5.0,5
229,Bihar,Gopalganj,217,Mustard,Rabi,1st Oct.-1st Nov,1st Feb - 1st Mar,1.0,10.0,1.0,11.0,1.0,2.0,1.0,3.0,5
230,Bihar,Gopalganj,217,Linseed,Rabi,1st Oct -15th Nov,1st - 15th Mar,1.0,10.0,15.0,11.0,1.0,3.0,15.0,3.0,5
231,Bihar,Gopalganj,217,Sugarcane,Autumn,1st Oct. -15th Nov,1st Oct – 15th Mar,1.0,10.0,15.0,11.0,1.0,10.0,15.0,3.0,6
232,Bihar,Gopalganj,217,Sugarcane,Spring,1st Feb -1st Mar,,1.0,2.0,1.0,3.0,,,,,6
233,Bihar,Jehanabad,239,Rice,Kharif,1st June - 31st July,15th Oct. – 15th Dec,1.0,6.0,31.0,7.0,15.0,10.0,15.0,12.0,6
234,Bihar,Jehanabad,239,Wheat,Rabi,15th Nov – 15th Dec,15th Mar – 15th Apr,15.0,11.0,15.0,12.0,15.0,3.0,15.0,4.0,6
235,Bihar,Jehanabad,239,Barley,Rabi,15th Oct - 30th Nov,15th Mar- 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,6
236,Bihar,Jehanabad,239,Maize,Kharif,30th May – 15th June,1st -31st Sep,30.0,5.0,15.0,6.0,1.0,9.0,31.0,9.0,6
237,Bihar,Jehanabad,239,Maize,Rabi,30th Oct – 15th Nov,1st – 30th Apr,30.0,10.0,15.0,11.0,1.0,4.0,30.0,4.0,6
238,Bihar,Jehanabad,239,Maize,Summer,15th Feb– 30th Apr,15th - 31st May,15.0,2.0,30.0,4.0,15.0,5.0,31.0,5.0,6
239,Bihar,Jehanabad,239,Arhar,Kharif,15th June – 31st July,1st – 30th Apr,15.0,6.0,31.0,7.0,1.0,4.0,30.0,4.0,6
240,Bihar,Jehanabad,239,Urad,Kharif,15th - 31st July,1st – 15th Oct,15.0,7.0,31.0,7.0,1.0,10.0,15.0,10.0,6
241,Bihar,Jehanabad,239,Gram,Rabi,15th Oct -30th Nov (Normal),15th Mar – 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,6
242,Bihar,Jehanabad,239,Gram,,1-15 Dec (Late),,1.0,12.0,15.0,12.0,,,,,6
243,Bihar,Jehanabad,239,Lentil,Rabi,15th Oct – 30th Nov,15th – 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,6
244,Bihar,Jehanabad,239,Peas,Rabi,15th Oct – 30th Nov,15th Jan. – 15th Mar,15.0,10.0,30.0,11.0,15.0,1.0,15.0,3.0,6
245,Bihar,Jehanabad,239,Moong,Summer,15th Mar - 15th Apr,15th – 31st May,15.0,3.0,15.0,4.0,15.0,5.0,31.0,5.0,6
246,Bihar,Jehanabad,239,Khesari,Rabi,15th Oct – 15th Nov,15th Mar – 15th Apr,15.0,10.0,15.0,11.0,15.0,3.0,15.0,4.0,6
247,Bihar,Jehanabad,239,Til,Kharif,15th June - 15th July,15th – 30th Sep,15.0,6.0,15.0,7.0,15.0,9.0,30.0,9.0,6
248,Bihar,Jehanabad,239,Til,Summer,15th Feb.-15th Mar,15th -31st May,15.0,2.0,15.0,3.0,15.0,5.0,31.0,5.0,6
249,Bihar,Jehanabad,239,Mustard,Rabi,15th -31st Oct,15th Feb - 15th Mar,15.0,10.0,31.0,10.0,15.0,2.0,15.0,3.0,6
250,Bihar,Jehanabad,239,Linseed,Rabi,15th Oct - 30th Nov,15th - 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,6
251,Bihar,Jamui,238,Rice,Kharif,15th June - 15th Aug,15th Oct – 15th Dec,15.0,6.0,15.0,8.0,15.0,10.0,15.0,12.0,6
252,Bihar,Jamui,238,Wheat,Rabi,15th Nov – 15th Dec,15th Mar – 15th Apr,15.0,11.0,15.0,12.0,15.0,3.0,15.0,4.0,6
253,Bihar,Jamui,238,Barley,Rabi,15th Oct - 30th Nov,1st Mar - 15th Apr,15.0,10.0,30.0,11.0,1.0,3.0,15.0,4.0,6
254,Bihar,Jamui,238,Maize,Kharif,15th May – 15th June,1st -31st Sep,15.0,5.0,15.0,6.0,1.0,9.0,31.0,9.0,6
255,Bihar,Jamui,238,Maize,Rabi,15th Oct – 15th Nov,1st – 30th Apr,15.0,10.0,15.0,11.0,1.0,4.0,30.0,4.0,6
256,Bihar,Jamui,238,Maize,Summer,15th Feb – 30th Apr,15th - 31st May,15.0,2.0,30.0,4.0,15.0,5.0,31.0,5.0,6
257,Bihar,Jamui,238,Arhar,Kharif,1st – 31st July,1st – 30th Apr,1.0,7.0,31.0,7.0,1.0,4.0,30.0,4.0,6
258,Bihar,Jamui,238,Urad,Kharif,15th - 31st July,1st – 30th Oct.,15.0,7.0,31.0,7.0,1.0,10.0,30.0,10.0,6
259,Bihar,Jamui,238,Kulthi,Kharif,1st July – 15th Aug,1st – 30th Nov,1.0,7.0,15.0,8.0,1.0,11.0,30.0,11.0,6
260,Bihar,Jamui,238,Gram,Rabi,15th Oct.-30th Nov (Normal),15th Mar – 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,6
261,Bihar,Jamui,238,Gram,,1-15 Dec (Late),,1.0,12.0,15.0,12.0,,,,,6
262,Bihar,Jamui,238,Lentil,Rabi,15th Oct. – 30th Nov.,15th – 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,6
263,Bihar,Jamui,238,Peas,Rabi,15th Oct. – 30th Nov.,15th Jan. – 15th Mar,15.0,10.0,30.0,11.0,15.0,1.0,15.0,3.0,6
264,Bihar,Jamui,238,Moong,Summer,15th Mar. - 15th Apr,15th – 31st May,15.0,3.0,15.0,4.0,15.0,5.0,31.0,5.0,6
265,Bihar,Jamui,238,Khesari,Rabi,15th Oct. – 15th Nov.,15th Mar. – 15th Apr,15.0,10.0,15.0,11.0,15.0,3.0,15.0,4.0,6
266,Bihar,Jamui,238,Til,Kharif,15th June - 15th July,15th – 30th Sep,15.0,6.0,15.0,7.0,15.0,9.0,30.0,9.0,6
267,Bihar,Jamui,238,Til,Summer,15th Feb.-15th Mar,15th -31st May,15.0,2.0,15.0,3.0,15.0,5.0,31.0,5.0,6
268,Bihar,Jamui,238,Mustard,Rabi,15th -31st Oct.,15th Feb- 15th Mar,15.0,10.0,31.0,10.0,15.0,2.0,15.0,3.0,6
269,Bihar,Jamui,238,Linseed,Rabi,15th Oct.- 30th Nov,15th - 31st March,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,6
270,Bihar,Jamui,238,Sugarcane,Autumn,15th Oct. – 30th Nov,15th Oct – 31st Mar,15.0,10.0,30.0,11.0,15.0,10.0,31.0,3.0,6
271,Bihar,Jamui,238,Sugarcane,Spring,15th Feb – 15th Mar,,15.0,2.0,15.0,3.0,,,,,6
272,Bihar,Kaimur,233,Rice,Kharif,15th June - 15th Aug,15th Oct – 15th Dec,15.0,6.0,15.0,8.0,15.0,10.0,15.0,12.0,6
273,Bihar,Kaimur,233,Wheat,Rabi,15th Nov. – 15th Dec,15th Mar. – 15th Apr,15.0,11.0,15.0,12.0,15.0,3.0,15.0,4.0,6
274,Bihar,Kaimur,233,Barley,Rabi,15th Oct. - 30th Nov,15th Mar- 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,6
275,Bihar,Kaimur,233,Maize,Kharif,15th May – 15th June,1st -31st Sept,15.0,5.0,15.0,6.0,1.0,9.0,31.0,9.0,6
276,Bihar,Kaimur,233,Maize,Rabi,15th Oct. – 15th Nov,1st – 30th Apr,15.0,10.0,15.0,11.0,1.0,4.0,30.0,4.0,6
277,Bihar,Kaimur,233,Maize,Summer,15th Feb. – 30th Apr,15th - 31st May,15.0,2.0,30.0,4.0,15.0,5.0,31.0,5.0,7
278,Bihar,Kaimur,233,Arhar,Kharif,15th June – 31st July,1st – 30th Apr,15.0,6.0,31.0,7.0,1.0,4.0,30.0,4.0,7
279,Bihar,Kaimur,233,Urad,Kharif,15th - 31st July,1st – 15th Oct,15.0,7.0,31.0,7.0,1.0,10.0,15.0,10.0,7
280,Bihar,Kaimur,233,Gram,Rabi,15th Oct.-30th Nov. (Normal),15th Mar – 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,7
281,Bihar,Kaimur,233,Gram,,1-15 Dec (Late),,1.0,12.0,15.0,12.0,,,,,7
282,Bihar,Kaimur,233,Lentil,Rabi,15th Oct – 30th Nov,15th – 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,7
283,Bihar,Kaimur,233,Peas,Rabi,15th Oct – 30th Nov,15th Jan. – 15th Mar,15.0,10.0,30.0,11.0,15.0,1.0,15.0,3.0,7
284,Bihar,Kaimur,233,Moong,Summer,15th Mar - 15th Apr,15th – 31st May,15.0,3.0,15.0,4.0,15.0,5.0,31.0,5.0,7
285,Bihar,Kaimur,233,Til,Kharif,15th June - 15th July,15th – 30th Sep.,15.0,6.0,15.0,7.0,15.0,9.0,30.0,9.0,7
286,Bihar,Kaimur,233,Til,Summer,15th Feb-15th Mar,15th -31st May,15.0,2.0,15.0,3.0,15.0,5.0,31.0,5.0,7
287,Bihar,Kaimur,233,Mustard,Rabi,15th -31st Oct,15th Feb.- 15th Mar,15.0,10.0,31.0,10.0,15.0,2.0,15.0,3.0,7
288,Bihar,Kaimur,233,Linseed,Rabi,15th Oct - 30th Nov,15th - 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,7
289,Bihar,Katihar,212,Rice,Kharif,15th June - 15th Aug,15th Oct – 15th Dec,15.0,6.0,15.0,8.0,15.0,10.0,15.0,12.0,7
290,Bihar,Katihar,212,Rice,Rabi (Boro),15th Oct– 15th Nov,15th Apr– 15th May,15.0,10.0,15.0,11.0,15.0,4.0,15.0,5.0,7
291,Bihar,Katihar,212,Wheat,Rabi,15th Nov- 15th Dec,15th Mar - 15th Apr,15.0,11.0,15.0,12.0,15.0,3.0,15.0,4.0,7
292,Bihar,Katihar,212,Maize,Kharif,1st May – 15th June,1st -31st Sep,1.0,5.0,15.0,6.0,1.0,9.0,31.0,9.0,7
293,Bihar,Katihar,212,Maize,Rabi,15th Oct – 15th Nov,1st – 30th Apr,15.0,10.0,15.0,11.0,1.0,4.0,30.0,4.0,7
294,Bihar,Katihar,212,Maize,Summer,15th Feb – 30th Apr,15th - 31st May,15.0,2.0,30.0,4.0,15.0,5.0,31.0,5.0,7
295,Bihar,Katihar,212,Arhar,Kharif,1st – 31st July,15th Mar - 30th Apr,1.0,7.0,31.0,7.0,15.0,3.0,30.0,4.0,7
296,Bihar,Katihar,212,Urad,Kharif,15th - 31st July,1st – 15th Oct.,15.0,7.0,31.0,7.0,1.0,10.0,15.0,10.0,7
297,Bihar,Katihar,212,Kulthi,Kharif,15th July – 15th Aug,1st – 15th Nov.,15.0,7.0,15.0,8.0,1.0,11.0,15.0,11.0,7
298,Bihar,Katihar,212,Lentil,Rabi,15th Oct – 30th Nov,15th – 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,7
299,Bihar,Katihar,212,Peas,Rabi,15th Oct – 30th Nov,15th Jan – 15th Mar,15.0,10.0,30.0,11.0,15.0,1.0,15.0,3.0,7
300,Bihar,Katihar,212,Moong,Summer,15th Mar - 15th Apr,15th – 31st May,15.0,3.0,15.0,4.0,15.0,5.0,31.0,5.0,7
301,Bihar,Katihar,212,Khesari,Rabi,15th Oct – 15th Nov,15th Mar – 15th Apr,15.0,10.0,15.0,11.0,15.0,3.0,15.0,4.0,7
302,Bihar,Katihar,212,Til,Kharif,15th June - 15th July,15th – 30th Sep,15.0,6.0,15.0,7.0,15.0,9.0,30.0,9.0,7
303,Bihar,Katihar,212,Til,Summer,15th Feb -15th Mar,15th -31st May,15.0,2.0,15.0,3.0,15.0,5.0,31.0,5.0,7
304,Bihar,Katihar,212,Mustard,Rabi,15th -31st Oct.,15th Feb.- 15th Mar,15.0,10.0,31.0,10.0,15.0,2.0,15.0,3.0,7
305,Bihar,Katihar,212,Linseed,Rabi,15th Oct - 30th Nov,15th - 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,7
306,Bihar,Katihar,212,Sunflower,Rabi,15th Oct. – 15th Nov,15th – 28th Feb,15.0,10.0,15.0,11.0,15.0,2.0,28.0,2.0,7
307,Bihar,Katihar,212,Jute,Kharif,15th Mar. – 15th May,15 July– 30th Sep,15.0,3.0,15.0,5.0,15.0,7.0,30.0,9.0,7
308,Bihar,Katihar,212,Jute,Kharif,15th Mar – 15th Apr,15th July -31st Aug,15.0,3.0,15.0,4.0,15.0,7.0,31.0,8.0,7
309,Bihar,Kishanganj,210,Rice,Kharif,15th June - 15th Aug,15th Oct – 15th Dec,15.0,6.0,15.0,8.0,15.0,10.0,15.0,12.0,7
310,Bihar,Kishanganj,210,Rice,Rabi (Boro),15th Oct– 15th Nov,15th Apr– 15th May,15.0,10.0,15.0,11.0,15.0,4.0,15.0,5.0,7
311,Bihar,Kishanganj,210,Wheat,Rabi,15th Nov- 15th Dec,15th Mar - 15th Apr,15.0,11.0,15.0,12.0,15.0,3.0,15.0,4.0,7
312,Bihar,Kishanganj,210,Maize,Kharif,1st May – 15th June,1st -31st Sep,1.0,5.0,15.0,6.0,1.0,9.0,31.0,9.0,7
313,Bihar,Kishanganj,210,Maize,Rabi,15th Oct – 15th Nov,1st – 30th Apr,15.0,10.0,15.0,11.0,1.0,4.0,30.0,4.0,7
314,Bihar,Kishanganj,210,Maize,Summer,15th Feb – 30th Apr,15th - 31st May,15.0,2.0,30.0,4.0,15.0,5.0,31.0,5.0,7
315,Bihar,Kishanganj,210,Arhar,Kharif,1st – 31st July,15th Mar - 30th Apr,1.0,7.0,31.0,7.0,15.0,3.0,30.0,4.0,7
316,Bihar,Kishanganj,210,Urad,Kharif,15th - 31st July,1st – 15th Oct.,15.0,7.0,31.0,7.0,1.0,10.0,15.0,10.0,7
317,Bihar,Kishanganj,210,Kulthi,Kharif,15th July – 15th Aug,1st – 15th Nov.,15.0,7.0,15.0,8.0,1.0,11.0,15.0,11.0,7
318,Bihar,Kishanganj,210,Lentil,Rabi,31st Oct – 30th Nov,15th – 31st Mar,31.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,7
319,Bihar,Kishanganj,210,Peas,Rabi,15th Oct – 30th Nov,15th Jan– 15th Mar,15.0,10.0,30.0,11.0,15.0,1.0,15.0,3.0,7
320,Bihar,Kishanganj,210,Moong,Summer,15th Mar - 15th Apr,15th – 31st May,15.0,3.0,15.0,4.0,15.0,5.0,31.0,5.0,7
321,Bihar,Kishanganj,210,Oilseeds,,,,,,,,,,,,7
322,Bihar,Kishanganj,210,Til,Kharif,15th June - 15th July,15th – 30th Sep,15.0,6.0,15.0,7.0,15.0,9.0,30.0,9.0,7
323,Bihar,Kishanganj,210,Til,Summer,15th Feb-15th Mar,15th -31st May,15.0,2.0,15.0,3.0,15.0,5.0,31.0,5.0,8
324,Bihar,Kishanganj,210,Mustard,Rabi,15th -31st Oct,15th Feb- 15th Mar,15.0,10.0,31.0,10.0,15.0,2.0,15.0,3.0,8
325,Bihar,Kishanganj,210,Linseed,Rabi,15th Oct.- 30th Nov,15th - 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,8
326,Bihar,Kishanganj,210,Jute,Kharif,15th Mar. – 15th May,15 July– 30th Sep,15.0,3.0,15.0,5.0,15.0,7.0,30.0,9.0,8
327,Bihar,Khagaria,223,Rice,Kharif,15th June-15th Aug,15th – 30th Nov,15.0,6.0,15.0,8.0,15.0,11.0,30.0,11.0,8
328,Bihar,Khagaria,223,Wheat,Rabi,15th Nov- 15th Dec,15th Mar - 15th Apr,15.0,11.0,15.0,12.0,15.0,3.0,15.0,4.0,8
329,Bihar,Khagaria,223,Maize,Kharif,1st May – 15th June,1st -31st Sep,1.0,5.0,15.0,6.0,1.0,9.0,31.0,9.0,8
330,Bihar,Khagaria,223,Maize,Rabi,15th Oct – 15th Nov,1st – 30th Apr,15.0,10.0,15.0,11.0,1.0,4.0,30.0,4.0,8
331,Bihar,Khagaria,223,Maize,Summer,15th Feb – 30th Apr,15th - 31st May,15.0,2.0,30.0,4.0,15.0,5.0,31.0,5.0,8
332,Bihar,Khagaria,223,Arhar,Kharif,1st – 31st July,15th Mar - 30th Apr,1.0,7.0,31.0,7.0,15.0,3.0,30.0,4.0,8
333,Bihar,Khagaria,223,Urad,Kharif,15th - 31st July,1st – 15th Oct.,15.0,7.0,31.0,7.0,1.0,10.0,15.0,10.0,8
334,Bihar,Khagaria,223,Kulthi,Kharif,15th July – 15th Aug,1st – 15th Nov,15.0,7.0,15.0,8.0,1.0,11.0,15.0,11.0,8
335,Bihar,Khagaria,223,Gram,Rabi,15th Oct.-30th Nov (Normal),15th Mar – 15th Apr,15.0,10.0,30.0,11.0,15.0,3.0,15.0,4.0,8
336,Bihar,Khagaria,223,Gram,,1-15 Dec (Late),,1.0,12.0,15.0,12.0,,,,,8
337,Bihar,Khagaria,223,Lentil,Rabi,15th Oct – 30th Nov,15th – 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,8
338,Bihar,Khagaria,223,Peas,Rabi,15th Oct – 30th Nov,15th Jan. – 15th Mar,15.0,10.0,30.0,11.0,15.0,1.0,15.0,3.0,8
339,Bihar,Khagaria,223,Moong,Summer,15th Mar - 15th Apr,15th – 31st May,15.0,3.0,15.0,4.0,15.0,5.0,31.0,5.0,8
340,Bihar,Khagaria,223,Khesari,Rabi,15th Oct – 15th Nov,15th Mar– 15th Apr,15.0,10.0,15.0,11.0,15.0,3.0,15.0,4.0,8
341,Bihar,Khagaria,223,Til,Kharif,15th June - 15th July,15th – 30th Sep,15.0,6.0,15.0,7.0,15.0,9.0,30.0,9.0,8
342,Bihar,Khagaria,223,Til,Summer,15th Feb -15th Mar,15th -31st May,15.0,2.0,15.0,3.0,15.0,5.0,31.0,5.0,8
343,Bihar,Khagaria,223,Mustard,Rabi,15th -31st Oct,15th Feb.- 15th Mar,15.0,10.0,31.0,10.0,15.0,2.0,15.0,3.0,8
344,Bihar,Khagaria,223,Linseed,Rabi,15th Oct.- 30th Nov,15th - 31st Mar,15.0,10.0,30.0,11.0,15.0,3.0,31.0,3.0,8
345,Bihar,Khagaria,223,Sunflower,Rabi,15th Oct. – 15th Nov,15th – 28th Feb,15.0,10.0,15.0,11.0,15.0,2.0,28.0,2.0,8
346,Bihar,Khagaria,223,Sugarcane,Autumn,15th Oct. – 30th Nov,15th Oct – 31st Mar,15.0,10.0,30.0,11.0,15.0,10.0,31.0,3.0,8
347,Bihar,Khagaria,223,Sugarcane,Spring,15th Feb – 15th Mar,,15.0,2.0,15.0,3.0,,,,,8
348,Bihar,Lakhisarai,227,Rice,Kharif,15th June-15th Aug,15th – 30th Nov,15.0,6.0,15.0,8.0,15.0,11.0,30.0,11.0,8
349,Bihar,Lakhisarai,227,Wheat,Rabi,15th No. – 15th Dec,15th Mar– 15th Apr,15.0,11.0,15.0,12.0,15.0,3.0,15.0,4.0,8
350,Bihar,Lakhisarai,227,Maize,Kharif,15th May – 15th June,1st -31st Sept,15.0,5.0,15.0,6.0,1.0,9.0,31.0,9.0,8
351,Bihar,Lakhisarai,227,Maize,Rabi,15th Oct. – 15th Nov,1st – 30th Apr,15.0,10.0,15.0,11.0,1.0,4.0,30.0,4.0,8
352,Bihar,Lakhisarai,227,Maize,Summer,15th Feb – 30th Apr,15th - 31st May,15.0,2.0,30.0,4.0,15.0,5.0,31.0,5.0,8
